Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25;Field26;Field27;Field28;Field29;Field30;Field31;Field32;Field33;Field34;Field35;Field36;Field37;Field38;Field39;Field40;Field41;Field42;Field43
Fagottini alle verdure;Antipasti;Pasta di pane;6;288;1728;500 gr. di pasta di pane;200 gr. di zucchine;200 gr. di peperoni gialli;150 gr. di pomodorini a ciliegia;1-2 peperoncini piccanti;2 cucchiai di olio extravergine;sale;farina;;;;;;;;;;;Tagliare i peperoni a tocchetti.;Tagliare le zucchine a rondelle.;Cuocere tutto insieme con l'olio e il peperoncino a fiamma media.;Dopo 10-12 min. togliere dal fuoco.;Salare.;Praticare un taglio a croce sui pomodorini.;Dividere la pasta a palline della dimensione di una mela.;Appiattirle con il matarello.;Mettere al centro un cucchiaio di verdure e un pomodorino.;Chiudere i lembi della pasta a formare un sacchettino.;Mettere i fagottini sulla placca del forno con carta da cucina.;Cuocerli in forno caldo a 200° per 30 min. circa.;Farli intiepidire e servirli.;;;;;;
Falafel;Antipasti;Ceci;;;0;un sacchetto di ceci secchi (500gr.);spicchio d'aglio (2);coriandolo macinato;cumino (1 cucchiaino);pezzettino di cipolla;prezzemolo in foglia;sale;pepe;olio per friggere;(farina);;;;;;;;;Mettere a bagno i ceci secchi almeno 12 ore;Frullare i ceci con tutti gli ingredienti.;Mettere in frigo per 2 ore.;Fare delle palline schiacciate nel palmo della mano.;Friggerle.;Se sono troppo molle aggiungere un po' di farina.;Servirle calde o fredde con la salsa hummus.;;;(provare a farle con una scatola di ceci invece che con quelli secchi);;;;;;;;;Macinarle benissimo e non serve la farina. buonissime!!!
Finte olive ascolane;Antipasti;Olive verdi;;;0;300 gr. di olive snocciolate in salam.;300 gr. di spezzatino misto;fondo di prosciutto crudo;burro;salvia;uova;grana;noce moscata;;pepe;farina ;;pane grattato;;;;;;Tritare nel tritacarne le olive.;Sgocciolarle benissimo in un colino.;Cuocere lo spezzatino con burro e salvia.;Passarlo al tritacarne.;Tritare anche il prosciutto crudo.;Mescolare tutto insieme.;Aggiungere 2 uova, sale, pepe, noce moscata, grana.;Fare delle palline.;Passarle in farina, uovo sbattuto e pane grattato;Friggerle in olio caldo per pochissimi minuti;;;;;;;;;Ottime!
Finti vol-au-vent con i funghi;Antipasti;Funghi;;;0;4 fette di pane x tramezzini lunghe;5 uova;4 cucchiai di panna fresca;1 vasetto di crema al tartufo;400 gr. di funghi misti;40 gr. di funghi porcini secchi;aglio;prezzemolo;grana a scaglie;30 gr. di burro;olio;sale;pepe;;;;;;Mettere i porcini secchi in acqua calda.;Scolarli e tagliarli a pezzi.;Cuocere tutti i funghi con l'olio, l'aglio intero, sale e prezzemolo.;Ricavare dal pane dei dischi di 7-8 cm. ;A 2/3 dei dischi eliminare il centro.;Sbattere 1 uovo e spennellare il bordo dei dischi e anelli.;Disporre sopra ogni disco 2 anelli.;Spennellare l'ultimo anello con l'olio.;Cuocere a 200° per circa 5 minuti.;Sbattere le uova con il burro ammorbidito e la panna.;Salare e pepare.;Cuocere in padella e quando sono ancora cremose aggiungere il tartufo;Disporre sui vol-au-vent le uova, poi i funghi.;Mettere delle scaglie di grana e una fogliolina di prezzemolo;;;;;
Finto pesce gustoso;Antipasti;Tonno;8;258;2064;400 gr. di patate;300 gr. di tonno sott'olio;1 cucchiaio di capperi;4 filetti di acciughe;2 cucchiai di maionese;pepe;sale;;;;;;;;;;;;Lessare le patate e passarle al passaverdure.;Mettere le patate in una terrina.;Frullare il tonno con i capperi e le acciughe.;Aggiungere alle patate.;Mescolare bene e aggiungere la maionese.;Salare e pepare.;Coprire con pellicola e mettere in frigo almeno tre ore.;Mettere su di un piatto da portata e dare la forma di pesce.;Decorare con fettine di cetriolo, limone, pomodorini, ecc.;Servire con maionese e crostini.;;;;;;;;;Si può mettere in uno stampo in modo che prenda già una forma prima di metterlo in frigo.
Focaccia ai carciofi sott'olio;Antipasti;Carciofi;;;0;500 gr. di pasta di pane;2 mozzarelle;1 confezione di carcioghiotto;;;;;;;;;;;;;;;;Fare la pasta di pane con l'olio del carcioghiotto nella macchina per il pane.;Stendere la pasta su carta da forno sulla teglia rotonda grandissima.;Coprire con la mozzarella a pezzetti.;Mettere i carcioghiotti a pezzettini.;Mettere un po' d'olio dei carciofi.;Cuocere a 250° per 10 min.;Servire sia calda che fredda tagliata a spicchi o a pezzi.;;;;;;;;;;;;Mia ricetta.
Focaccia al formaggio;Antipasti;Formaggio;8;;0;350 gr. di Crescenza;pasta x pizza;olio extravergine;sale;;;;;;;;;;;;;;;Dividere la pasta a metù;Stenderne una sottile su di una teglia;Sistemarci la crescenza a pezzi.;Metterci l'altro rettangolo di pasta.;Chiudere bene i bordi.;Ungere di olio e salare la superficie.;Cuocere in forno caldo a 250° per circa 15 min.;Servire la focaccia calda o tiepida.;;;;;;;;;;;
Focaccia gialla alle cipolle;Antipasti;Cipolle rosse;6;;0;500 gr. di farina;1 bustina di lievito di birra;zafferano;2 cucchiaini di zucchero;2 cucchiaini di sale;125 gr. di mozzarella;2 cucchiai di olio di oliva;250 gr. di acqua tiepida;200 gr. di cipolle rosse pulite;30 gr. di pinoli;sale;3 cucchiai di olio d'oliva;;;;;;;Setacciare la farina e aggiungerci lievito e zafferano.;Aggiungerci zucchero, sale, olio e la mozzarella tritata sottilissima.;Amalgamare con le fruste a spirale.;Aggiungere l'acqua necessaria a formare una pasta elastica.;Lavorare per 10 min.;Far lievitare in luogo tiepido.;Stendere la pasta in una sfoglia rettangolare.;Metterla nella placca del forno con la carta apposita.;Distribuire la cipolla tagliata ad anelli molto fini.;Aggiungere i pinoli, sale e olio.;Cuocere in forno caldo per 25 min. circa.;Servire tagliata a cubetti.;;;;;;;
Frico alle verdure;Antipasti;Formaggio;6;160;960;200 gr. di grana grattugiato;1\2 peperone giallo;1\2 peperone rosso;1 zucchina;1\2 melanzana;1 cespo di trevisana;olio ;sale;;;;;;;;;;;Tagliare le verdure a falde.;Pennellarle con un po' d'olio e cuocerle sulla griglia calda.;Scaldare una padellina antiaderente.;Metterci una cucchiaiata di grana e distribuirla bene.;Farlo dorare da un lato e girarla.;Mettere la cialda su un foglio di carta e farcirla immediatamente.;Arrotolarla finchè è ancora calda.;Procedere così fino ad esaurimanto degli ingredienti.;Farcire ogni cialda con una verdura diversa.;Metterli su di un piatto da portata e servirli.;;;;;;;;;
Frittelle di formaggio e acciughe;Antipasti;Scamorza bianca;;;0;1 scamorza bianca;acciughe sott'olio;farina;uova;pangrattato;olio x friggere;;;;;;;;;;;;;Tagliare delle sottili fettine di scamorza;Metterci un'acciuga e chiudere a involtino;Passarle nella farina, nell'uovo sbattuto e nel pangrattato;Friggere in una padella con abbondante olio bollente;Servire;;;;;;;;;;;;;;Conviene fare una doppia panatura!
Frittelle di mais al peperoncino (hush puppy);Antipasti;Polenta;6;;0;140 gr. di farina di mais;70 gr. di farina bianca;un cucchiaino di zucchero;2 cucchiaini di sale;1cucch.no di lievito per torte salate;una cipolla;un peperoncino fresco piccante;un uovo;3 cucchiai di olio;2 dl di latte;olio per friggere;;;;;;;;Mescolare farina di mais, farina bianca, zucchero, sale e lievito.;Tritare finemente una cipolla e il peperoncino.;Aggiungerci l'uovo, l'olio e il latte.;Mescolare i due composti.;Scaldare l'olio in un tegame con i bordi alti.;Friggere l'impasto a cucchiaiate.;Scolare le frittelle, gonfie  e dorate, su carta da cucina.;;;;;;;;;;;;"Si racconta che un tempo fosse una speciale impanatura per il pesce i cui avanzi venivano lanciati al cane di casa dicendo: "" Zitto cucciolo - hush puppy"" - appunto. Ricetta Americana. (infatti la panatura x il fish and chips)"
Frittelle di zucchine;Antipasti;Zucchine;4;165;660;80 gr. di farina;3 cucchiai di acqua minerale;un uovo;una presa di sale;una macinata di pepe;200 gr. di zucchine;un albume;olio per friggere;;;;;;;;;;;Mescolare bene la farina con l'acqua.;Aggiungere l'uovo, sale e pepe.;Pulire le zucchine e tagliarle a juliene con il robot.;Montare a neve l'albume e mescolarlo delicatamente.;Aggiungere le zucchine.;Scaldare abbondante olio.;Mettere il composto a cucchiaiate.;Quando saranno gonfie e dorate metterle su carta assorbente.;Servirle calde.;;;;;;;;;;
Frittelle di zucchine e fiori;Antipasti;Zucchine;6;200;1200;250 gr. di farina;1 uovo;12 fiori di zucca;12 piccole zucchine;1\2 cucchiaino di lievito in polvere;olio per friggere;sale;;;;;;;;;;;;Stemperare la farina con un bicchiere d'acqua fredda unita a filo.;Fare attenzione a non formare grumi.;Sbattere l'uovo e aggiungerlo alla farina.;Unire un cucchiaio di olio, il lievito e una presa di sale.;Mescolare molto bene.;Coprire con un canovaccio.;Lasciar riposare per 30 min. a temperatura ambiente.;Lavare le zucchine e asciugarle.;Privare i fiori del pistillo.;Scaldare abbondante olio.;Mettere le zucchine e i fiori nella pastella.;Friggerli finchè saranno dorati.;Asciugarli su carta da cucina.;Servirli ben caldi.;;;;;
Fritto di carciofi;Antipasti;Carciofi;4;520;2080;8 carciofi;6 cucchiai di farina;3 uova;olio per friggere;;sale;;;;;;;;;;;;;Pulire i carciofi dalle foglie più dure e dal fieno.;Dagliarli in sottili fettine verticali.;Scaldare l'olio in una padella.;Passare i carciofi in un piatto con la farina.;Sbattere l'eccesso.;Passarli in un piatto con le uova sbattute.;Mettere i carciofi nella padella e friggerli fino a doratura.;Farli asciugare su carta da cucina e servirli caldissimi.;;;;;;;;;;;
Frollini di grana;Antipasti;Grana;;;0;100 gr. di burro;200 gr. di grana grattugiato;200 gr. di farina bianca;1 uovo intero;3/4 cucchiai di latte;;;;;;;;;;;;;;Mettere la farina, il grana e il burro nel robot.;Mescolare.;Aggiungere l'uovo e pochissimo latte.;Frullare.;Si deve ottenere una pasta tipo la frolla.;Eventualmente aggiungere ancora pochissimo latte.;Mettere in frigo a riposare.;Fare un salsicciotto e tagliarlo a fette.;Metterle in forno a 180°.;Cuocerli per 10 min.;Girarli, spegnere il forno e lasciarli dorare anche di sotto.;;;Al posto del latte si può mettere un altro uovo.;;;;;Ricetta di Christina
Girandola di sfoglia;Antipasti;Spinaci;4;;0;2 dischi di pasta sfoglia Buitoni;800 gr. di spinaci;1 uovo;100 gr. di ricotta;5 cucchiai di grana;200 gr. di caciotta a dadini;200 gr. di prosciutto cotto a dadini;sale;pepe;;;;;;;;;;Mettere un disco di pasta con la carta in una tortiera.;Cuocere e tritare gli spinaci.;Mescolarli con l'uovo, la ricotta, il grana, la caciotta e il prosciutto.;Salare e pepare.;Mettere il ripieno sulla pasta e coprire con il secondo disco.;Sigillare i bordi e praticare delle incisioni a forma di girandola .;Cuocere in forno già caldo a 200° per 25 min. circa.;;;;;;;;;;;;
Girandole ai peperoni;Antipasti;Peperoni;4;475;1900;250 gr. di pasta sfoglia surgelata;2 falde di peperone sott'olio;120 gr. di prosciutto;30 gr. di provolone;20 gr. di grana;prezzemolo;;;;;;;;;;;;;Frullare il provolone, il prosciutto e il grana.;Sgocciolare i peperoni e tagliarli a listarelle.;Tritare il prezzemolo.;Mettere tutti gli ingredienti sul rettangolo di pasta sfoglia.;Lasciare libero un cm. di bordo.;Arrotolare la pasta su se stessa. ;Con un coltello molto affilato tagliare il rotolo a fette di un paio di cm.;Non premere la lama ma farla scorrere per ottenere delle fette perfette.;Accendere il forno a 200°.;Allineare le girandole sulla placca del forno rivestita di carta.;Metterle in piedi.;Cuocerle per circa 15 min.;Toglierle dal forno e farle intiepidire.;;;;;;
Grissini di patate;Antipasti;Patate;;;0;150 gr. di patate lessate e sbucciate;200 gr. di farina;150 gr. di burro;1/2 cucchiaino di lievito;2 uova;1 cucchiaino e 1/2 di sale;;;;;;;;;;;;;Schiacciare le patate e farle raffreddare.;Mescolarle con 1 cuchiaino di sale, il burro, 1 uovo, la farina e il lievito.;Lavorare bene e formare dei cordoncini grossi un dito.;Fare dei bastoncini. ;Disporre sulla placca del forno rivestita di carta da forno.;Pennellarli con l'uovo rimasto sbattuto con il sale rimanente.;Forno moderato fino a doratura.;;;;;;;;;;;;Ricetta Nonna Nina.
Grissini di sfoglia;Antipasti;Pasta sfoglia;;;0;pasta sfoglia rettangolare;1 uovo;;salvia e rosmarino;farina;;;;;;;;;;;;;;Pennellare la pasta con l'uovo sbattuto.;Su metà sfoglia mettere salvia e rosmarino tritati;Chiudere sopra l'altra metà.;Metter un po' di farina e passarci il mattarello.;Tagliare delle striscioline larghe un dito.;Metterle su carta da forno.;Fare dei giri così da arrotolorle a mo di spirale su se stesse.;Cuocere a 180° per 10 minuti.;;;;;;;;;;;
Hummus;Antipasti;Ceci;;;0;Olio d'oliva;2 spicchi d'aglio;curry;cumino;1 scatola di ceci lessati Bonduelle;succo di 1 limone grande;olio extra vergine d'oliva;sale;;;;;;;;;;;Mettere un po' d'olio in una padella.;Aggiungerci l'aglio e le spezie.;Far tostare leggermente.;Aggiungerci i ceci sgocciolati e far insaporire.;Togliere l'aglio e frullare benissimo insieme con il limone e il sale.;Aggiungere l'olio extra v. a filo fino ad una consistenza cremosa.;;;;;;;;;;;;;Molto buono! L'olio deve essere visibile (appena appena) nel composto. Non deve avere un aspetto asciutto ma con un po' d'olio che ricopre i bordi.
